phase,experiment,metric,value,unit,status,interpretation
corpus,official_snapshot,core_sessions,2590,sessions,READY,Clean baseline corpus
corpus,official_snapshot,cross_venue_features,2499840,rows,READY,Observation volume
corpus,official_snapshot,predictor_labels,2433124,rows,READY,Canonical label volume
latency,live_closeout,p95_seen_to_ack_match,0.430,seconds,CLOSED,Use 1s conceptual and 2s observable contract
baseline,latency_aware_taker,test_auc,0.7913,auc,NO_GO,Good ranking but negative economic policy
sequence,tabular_gru,test_cost0p50_mean,0.4550,proxy_ticks,NO_GO,Signal remains but one bad test day
orderbook,tensor_audit,top10_complete,100,percent,GO,Orderbook tensor is model-ready
orderbook,book_only_conv1d,best_test_cost0p50_mean,-1.0830,proxy_ticks,NO_GO,Book alone is insufficient
methodology,nested_v3_corrected,safe_adverse_robust_configs,0,count,NO_GO,Earlier adverse candidate invalidated
oof,clean_h60_upstream,test_auc,0.5656,auc,PARTIAL_SIGNAL,Modest causal ranking signal
oof,clean_h60_upstream,test_top35_cost0p50_mean,0.1778,proxy_ticks,PARTIAL_SIGNAL,Positive under primary proxy cost
oof,clean_h60_upstream,test_top35_cost1p00_mean,-0.1899,proxy_ticks,NO_GO,Does not survive conservative cost
oof,clean_fusion_stage2,robust_configs,0,count,NO_GO,Second stage does not create stable policy
horizon,h60_paired,test_auc,0.5651,auc,PARTIAL_SIGNAL,H60 retains signal on H120-supported sample
horizon,h120,test_auc,0.4951,auc,NO_GO,H120 is approximately random
horizon,h60_paired,test_top35_cost0p50_mean,0.4262,proxy_ticks,PARTIAL_SIGNAL,H60 beats H120 on identical sample
horizon,h120,test_top35_cost0p50_mean,-1.1171,proxy_ticks,NO_GO,Longer horizon worsens ranking economics
dataset,fresh_pipeline_refresh_2026_06_10,decision,FRESH_PIPELINE_READY,decision,FRESH_PIPELINE_READY,Fresh H16 base L2 and execution dataset now cover 2026-06-06 to 2026-06-10 and are future-only relative to 2026-05-25.
dataset,fresh_pipeline_refresh_2026_06_10,h16_rows,344850,rows,FRESH_PIPELINE_READY,H16 cache written from official SQLite feature ids.
dataset,fresh_pipeline_refresh_2026_06_10,execution_rows,342454,rows,FRESH_PIPELINE_READY,Execution dataset built from isolated fresh base L2 parquet.
strategy,complex_v1a_prestart_h60_specialist_v1,fresh_no_clock_net_at_0p5_no_gate,+0.349,ticks,PRESTART_FRESH_PASS_VOL_SENSITIVE,"no_clock specialist ev>0.75 hp>=0.5 on June 6-10 fresh: +0.349 ticks net@0.5 (n=754, 52% HIGH_VOL)."
strategy,complex_v1a_prestart_h60_vol_gate_v1,fresh_no_clock_net_at_0p5_vol_gate,+1.076,ticks,VOL_GATE_VALIDATED_ADD_TO_LIVE_SHADOW,Vol gate (vol<=0.6657) selects 319/754 LOW_VOL rows: +1.076 ticks net@0.5. Gate threshold = TCN HIGH_VOL_THR = q80 training vol.
strategy,complex_v1a_prestart_h60_vol_gate_v1,combined_strategy_daily_ticks_estimate,+68.6,ticks/5days,VOL_GATE_VALIDATED_ADD_TO_LIVE_SHADOW,63.8 trades/day x 1.076 = 68.6 ticks over 5 fresh days (vs carry gate ~83 ticks for same period).
validation,complex_v1a_prestart_h60_distributional_v1,q10_gate_val_net_at_0p5,+1.376,ticks,Q10_GATE_HISTORICAL_OK_FRESH_INFERIOR,"Q10 downside gate (q10>=-5): val +1.376 (vs baseline +0.766), test +0.962 (vs +0.430). Fresh: +0.813 vs vol gate +1.076."
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,decision,PROMISING_NEEDS_DATA,str,PROMISING_NEEDS_DATA,"Prestart specialist + vol gate paper shadow: 5 days, 318 trades"
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,n_fresh_days,5,days,OK,2026-06-06 to 2026-06-10
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,n_trades_vol_gate,318,trades,OK,63.6 trades/day average
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,mean_net_at_0p5,1.069,ticks,POSITIVE,"90% CI [+0.472, +1.654]"
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,p_net_positive_bootstrap,99.8,pct,STRONG,Bootstrap 5000 resamples
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,daily_ticks_estimate,68.0,ticks/day,POSITIVE,Mean total ticks per fresh day
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,max_drawdown_ticks,88.1,ticks,OK,Cumulative peak-to-trough on paper trades
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,days_to_paper_shadow_candidate,3,days,TARGET,"Need 8 days, 200 trades, net>0.5"
complex_v1a_prestart_h60_paper_shadow_v1,complex_v1a_prestart_h60_paper_shadow_v1,days_to_bot_candidate,7,days,TARGET,"Need 12 days, 400 trades, net>0.5"
